configuration,use_pca,use_smote,use_kmeans,use_ensemble,fold,train_samples,test_samples,model,accuracy,precision,recall,f1,roc_auc
Full Model,True,True,True,True,9,1494180,36578,Random Forest,0.9924271419979223,0.9928134852781008,0.9924271419979223,0.9925301146319438,0.9977362156240905
Full Model,True,True,True,True,9,1494180,36578,SVM,0.9594291650719011,0.9725922149664626,0.9594291650719011,0.9632289507066146,0.9889010383961946
Full Model,True,True,True,True,9,1494180,36578,Hybrid Ensemble,0.9917983487342118,0.9922904827623921,0.9917983487342118,0.9919273626439101,0.9964263359103229
Full Model,True,True,True,True,10,1494180,36578,Decision Tree,0.9904587456941331,0.9912448473690271,0.9904587456941331,0.9906995607222298,0.9942102919274498
Full Model,True,True,True,True,10,1494180,36578,Random Forest,0.9927005303734485,0.9930517086838773,0.9927005303734485,0.9927992460144777,0.9981540791239208
Full Model,True,True,True,True,10,1494180,36578,SVM,0.9600579583356116,0.9728642612454962,0.9600579583356116,0.9638561730618667,0.9917444110836887
Full Model,True,True,True,True,10,1494180,36578,Hybrid Ensemble,0.9922904478101591,0.9928088517730776,0.9922904478101591,0.9924259989449055,0.9973404015276703
Without PCA,False,True,True,True,1,1494180,36579,Decision Tree,0.9881079307799557,0.9892632431268498,0.9881079307799557,0.9884721381084332,0.9925030419165046
Without PCA,False,True,True,True,1,1494180,36579,Random Forest,0.9913064873287952,0.9917620350205023,0.9913064873287952,0.9914281058397385,0.9977574521765902
Without PCA,False,True,True,True,1,1494180,36579,SVM,0.9583640886847645,0.9673754234917286,0.9583640886847645,0.9614923521704337,0.9877579604221269
Without PCA,False,True,True,True,1,1494180,36579,Hybrid Ensemble,0.9905410208042866,0.9911506398045391,0.9905410208042866,0.9907037659934085,0.9969587859979694
Without PCA,False,True,True,True,2,1494180,36579,Decision Tree,0.9869870690833539,0.9895274029519725,0.9869870690833539,0.9877595231329381,0.9957896477209709
Without PCA,False,True,True,True,2,1494180,36579,Random Forest,0.9929467727384564,0.9933147679386872,0.9929467727384564,0.993049816119305,0.9983374403105824
Without PCA,False,True,True,True,2,1494180,36579,SVM,0.9610432215205446,0.9689377561268846,0.9610432215205446,0.9637330270796343,0.9897041633163953
Without PCA,False,True,True,True,2,1494180,36579,Hybrid Ensemble,0.9922359823942699,0.9927326030752273,0.9922359823942699,0.9923733500665581,0.9972873901400666
Without PCA,False,True,True,True,3,1494180,36579,Decision Tree,0.9879165641488286,0.9894428506424313,0.9879165641488286,0.9883864049136035,0.9930733410663317
Without PCA,False,True,True,True,3,1494180,36579,Random Forest,0.9918805872221766,0.9923741748822492,0.9918805872221766,0.9920194761329671,0.9978031788776955
Without PCA,False,True,True,True,3,1494180,36579,SVM,0.9592662456600782,0.9678452996288989,0.9592662456600782,0.9621884934923766,0.9898025627675593
Without PCA,False,True,True,True,3,1494180,36579,Hybrid Ensemble,0.9912791492386341,0.9918955989794929,0.9912791492386341,0.9914501799840839,0.996973254892432
Without PCA,False,True,True,True,4,1494180,36579,Decision Tree,0.98581153120643,0.9886018696296606,0.98581153120643,0.9867012926740912,0.994227658772014
Without PCA,False,True,True,True,4,1494180,36579,Random Forest,0.9926187156565243,0.9929685462276675,0.9926187156565243,0.9927114057347691,0.9977102661990713
Without PCA,False,True,True,True,4,1494180,36579,SVM,0.957789988791383,0.9668709713724046,0.957789988791383,0.9609126883044096,0.9882160914703684
Without PCA,False,True,True,True,4,1494180,36579,Hybrid Ensemble,0.9917165586812106,0.9922254592527583,0.9917165586812106,0.9918525904145397,0.9971844158845617
Without PCA,False,True,True,True,5,1494180,36579,Decision Tree,0.9862762787391672,0.9888083899165235,0.9862762787391672,0.9870446685261044,0.99453759639722
Without PCA,False,True,True,True,5,1494180,36579,Random Forest,0.9919079253123377,0.992384891522774,0.9919079253123377,0.9920444835810547,0.9982003498329887
Without PCA,False,True,True,True,5,1494180,36579,SVM,0.9575439459799339,0.9673901349394565,0.9575439459799339,0.9610139331095773,0.9876796194143211
Without PCA,False,True,True,True,5,1494180,36579,Hybrid Ensemble,0.9912791492386341,0.9918751465885117,0.9912791492386341,0.9914468078222458,0.9973810986621654
Without PCA,False,True,True,True,6,1494180,36579,Decision Tree,0.987315126165286,0.9891834462412249,0.987315126165286,0.9878909218420214,0.9938990312022566
Without PCA,False,True,True,True,6,1494180,36579,Random Forest,0.9920446157631427,0.9924716761663248,0.9920446157631427,0.9921561593301919,0.9979755352507379
Without PCA,False,True,True,True,6,1494180,36579,SVM,0.9578993411520271,0.9669648134946006,0.9578993411520271,0.9610348010205232,0.9884892002164866
Without PCA,False,True,True,True,6,1494180,36579,Hybrid Ensemble,0.9908690778862189,0.99150569217023,0.9908690778862189,0.9910398280342174,0.997201439725308
Without PCA,False,True,True,True,7,1494180,36579,Decision Tree,0.98581153120643,0.9881897264121534,0.98581153120643,0.9865621237251272,0.994002926259138
Without PCA,False,True,True,True,7,1494180,36579,Random Forest,0.9919079253123377,0.9923457852006392,0.9919079253123377,0.9920260232648388,0.9979398134772326
Without PCA,False,True,True,True,7,1494180,36579,SVM,0.957680636430739,0.9673152807826,0.957680636430739,0.96107836530265,0.9878221133464269
Without PCA,False,True,True,True,7,1494180,36579,Hybrid Ensemble,0.990951092156702,0.9915690782386585,0.990951092156702,0.9911181328626049,0.9971603514628742
Without PCA,False,True,True,True,8,1494180,36579,Decision Tree,0.9863856310998114,0.9888208089775153,0.9863856310998114,0.9871418979757063,0.994021552416659
Without PCA,False,True,True,True,8,1494180,36579,Random Forest,0.9925367013860412,0.9929468290220432,0.9925367013860412,0.9926440557968625,0.9985639404385828
Without PCA,False,True,True,True,8,1494180,36579,SVM,0.9588288362175018,0.9677038023639959,0.9588288362175018,0.9618994904013999,0.9900691057204543
Without PCA,False,True,True,True,8,1494180,36579,Hybrid Ensemble,0.9919899395828208,0.9925235727201077,0.9919899395828208,0.9921280407671557,0.9980540762318558
Without PCA,False,True,True,True,9,1494180,36578,Decision Tree,0.9876155065886598,0.9893782124527352,0.9876155065886598,0.9881706232227794,0.9943681712270642
Without PCA,False,True,True,True,9,1494180,36578,Random Forest,0.9924271419979223,0.9928134852781008,0.9924271419979223,0.9925301146319438,0.9977362156240905
Without PCA,False,True,True,True,9,1494180,36578,SVM,0.9588003718081907,0.967301490952519,0.9588003718081907,0.9616969905341456,0.9887344502270066
Without PCA,False,True,True,True,9,1494180,36578,Hybrid Ensemble,0.9916616545464487,0.9921710965788358,0.9916616545464487,0.9917975036132588,0.9970610592895051
